stock_id,exp_id,fragB_smiles,oligomer_smiles
SP138,,Nc1c(Br)cc2nc[nH]c2c1Br,CC1(C)c2ccccc2-c2ccc(-c3cc4nc[nH]c4c(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c3N)cc21
SP139,,S=c1[nH]c2c(Br)cc(Br)cc2o1,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4[nH]c(=S)oc4c3)cc21
SP140,,O=C(O)c1cnc(Br)cc1Br,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c(C(=O)O)cn3)cc21
SP141,,Nc1nnc(Br)cc1Br,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c(N)nn3)cc21
SP142,N06,Brc1ccc(Br)c2[nH]ccc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4[nH]ccc34)cc21
SP143,,CCCCCCc1c2cc(Br)sc2c(CCCCCC)c2cc(Br)sc12,Cc1c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)sc2c(C)c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)sc12
SP144,BD07,Fc1c(F)c(Br)c2nsnc2c1Br,CC1(C)c2ccccc2-c2ccc(-c3c(F)c(F)c(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4nsnc34)cc21
SP145,,Brc1ccc(/C=C/c2ccc(Br)cc2)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(/C=C/c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4)cc3)cc21
SP146,S02,Brc1ccc(-c2ccc(Br)s2)s1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)s3)cc21
SP147,,Brc1cc2nsnc2cc1Br,CC1(C)c2ccccc2-c2ccc(-c3cc4nsnc4cc3-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP148,,O=c1[nH]cnc2[nH]c(Br)c(Br)c12,CC1(C)c2ccccc2-c2ccc(-c3[nH]c4nc[nH]c(=O)c4c3-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP149,,O=C1Nc2c(Br)cc(Br)cc2C1=O,CC1(C)c2ccccc2-c2ccc(-c3cc4c(c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c3)NC(=O)C4=O)cc21
SP150,,COc1cc(Br)c2ncccc2c1Br,COc1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c2ncccc2c1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP151,,Brc1cc(Br)c2nccn2c1,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4nccn4c3)cc21
SP152,,Brc1cc(Br)c2nccn2n1,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4nccn4n3)cc21
SP153,,O=C(O)CCCCCCOc1cc(Br)cc(Br)c1,CC1(C)c2ccccc2-c2ccc(-c3cc(OCCCCCCC(=O)O)cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c3)cc21
SP154,,Brc1cc(Br)cc(N2CCC3(CC2)OCCO3)c1,CC1(C)c2ccccc2-c2ccc(-c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)cc(N4CCC5(CC4)OCCO5)c3)cc21
SP155,,COC(=O)c1cc(Br)c(C(=O)OC)cc1Br,COC(=O)c1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c(C(=O)OC)cc1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP156,,CCOC(=O)c1nc(Br)oc1Br,COC(=O)c1nc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)oc1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP158,,COC(=O)c1cc(Br)oc1Br,COC(=O)c1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)oc1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP159,,COC(=O)c1cc(Br)cnc1Br,COC(=O)c1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)cnc1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP160,,COC(=O)c1cc(Br)c(F)c(Br)c1N,COC(=O)c1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c(F)c(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c1N
SP161,,COC(=O)c1cc(Br)c(Br)[nH]1,COC(=O)c1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)[nH]1
SP162,,Brc1ccc2c(c1)oc1cc(Br)ccc12,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)oc3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc34)cc21
SP163,,Brc1ccc2c(c1)sc1cc(Br)ccc12,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc34)cc21
SP164,N11,Brc1ccc(Br)c2cnccc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4cnccc34)cc21
SP165,X08,O=C1C(=O)c2cc(Br)cnc2-c2ncc(Br)cc21,CC1(C)c2ccccc2-c2ccc(-c3cnc4c(c3)C(=O)C(=O)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cnc3-4)cc21
SP166,,CCCCCCn1c2cc(Br)ccc2c2ccc(Br)cc21,Cn1c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc2c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP167,N12,Brc1ccc(Br)c2ncccc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4ncccc34)cc21
SP168,,Brc1cnc(Br)c2ccccc12,CC1(C)c2ccccc2-c2ccc(-c3cnc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4ccccc34)cc21
SP169,,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C(=C2C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(Br)ccc32)c2ccc(Br)cc21,CC(C)CN1C(=O)C(=C2C(=O)N(CC(C)C)c3cc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)ccc32)c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP170,,CC(C)(C)OC(=O)N1C(=O)C2=C(c3ccc(Br)s3)N(C(=O)OC(C)(C)C)C(=O)C2=C1c1ccc(Br)s1,CC(C)(C)OC(=O)N1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)N(C(=O)OC(C)(C)C)C(=O)C2=C1c1ccc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)s1
SP171,N07,Brc1ccc(Br)c2[nH]cnc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4[nH]cnc34)cc21
SP172,,Brc1nnc(Br)c2ccccc12,CC1(C)c2ccccc2-c2ccc(-c3nnc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4ccccc34)cc21
SP173,BD04,Brc1ccc(Br)c2nonc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4nonc34)cc21
